,PostalCode,Borough,Neighborhood
69,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
70,M5X,Downtown Toronto,"First Canadian Place, Underground city"
71,M6A,North York,"Lawrence Heights, Lawrence Manor"
72,M6B,North York,Glencairn
73,M6C,York,Humewood-Cedarvale
74,M6E,York,Caledonia-Fairbanks
75,M6G,Downtown Toronto,Christie
76,M6H,West Toronto,"Dovercourt Village, Dufferin"
77,M6J,West Toronto,"Little Portugal, Trinity"
78,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
79,M6L,North York,"Upwood Park, North Park, Downsview"
80,M6M,York,"Keelesdale, Mount Dennis, Silverthorn, Del Ray"
81,M6N,York,"The Junction North, Runnymede"
82,M6P,West Toronto,"High Park, The Junction South"
83,M6R,West Toronto,"Roncesvalles, Parkdale"
84,M6S,West Toronto,"Swansea, Runnymede"
85,M7A,Downtown Toronto,Queen's Park
86,M7R,Mississauga,Canada Post Gateway Processing Centre
87,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
88,M8V,Etobicoke,"Mimico South, New Toronto, Humber Bay Shores"
89,M8W,Etobicoke,"Alderwood, Long Branch"
90,M8X,Etobicoke,"Old Mill North, The Kingsway, Montgomery Road"
91,M8Y,Etobicoke,"Kingsway Park South East, King's Mill Park, The Queensway East, Royal York South East, Old Mill South, Humber Bay, Sunnylea, Mimico NE"
92,M8Z,Etobicoke,"South of Bloor, Kingsway Park South West, The Queensway West, Mimico NW, Royal York South West"
93,M9A,Etobicoke,Islington Avenue
94,M9B,Etobicoke,"West Deane Park, Cloverdale, Martin Grove, Islington, Princess Gardens"
95,M9C,Etobicoke,"Markland Wood, Bloordale Gardens, Eringate, Old Burnhamthorpe"
96,M9L,North York,Humber Summit
97,M9M,North York,"Emery, Humberlea"
98,M9N,York,Weston
99,M9P,Etobicoke,Westmount
100,M9R,Etobicoke,"Richview Gardens, Kingsview Village, St. Phillips, Martin Grove Gardens"
101,M9V,Etobicoke,"Mount Olive, South Steeles, Jamestown, Humbergate, Beaumond Heights, Thistletown, Silverstone, Albion Gardens"
102,M9W,Etobicoke,Northwest
